Variable,Mean,Std Dev,Min,Max,Skewness,Kurtosis,ACF(1)
RPI,-2.7119951746568708e-17,1.0006367399562732,-6.543453876363867,7.210650742878227,-0.010590134309640032,14.695810032202,0.004766399518400264
DPCERA3M086SBEA,-3.8419931640972337e-17,1.0006367399562732,-4.8829711412687535,8.669193976336746,1.4082407778731767,12.821086240358664,-0.008949040804550983
UNRATE,0.0,1.0006367399562732,-8.60911958954621,4.405286218007998,-1.331735614707172,13.573823135498824,0.2600347674580212
UEMPMEAN,2.7119951746568708e-17,1.0006367399562732,-4.72833593376094,5.054771424405789,0.11344809575339415,3.657264531125114,-0.046256256084210835
PERMIT,-7.593586489039238e-16,1.0006367399562732,-3.146044148268927,2.0254680370867852,-0.7782773543685683,0.6128681183380107,0.9803290529485592
ISRATIOx,-1.581997185216508e-17,1.0006367399562732,-9.317887376589065,5.9324002223374865,-1.1751127172469356,14.928884250023415,0.0746894092247156
M1SL,2.259995978880726e-18,1.0006367399562732,-7.331535337198201,6.542848424230374,0.40200069586671566,11.835282458370948,-0.2952343094226101
REALLN,1.1299979894403628e-17,1.0006367399562732,-6.259312717112383,7.785782859137033,0.5279752093716468,12.22517103865031,-0.21276208838482444
S&P PE ratio,6.779987936642177e-18,1.0006367399562732,-4.864844559194864,5.128676712962152,-0.11333790964358507,5.342034651680922,0.495635955695332
GS10,6.779987936642177e-18,1.0006367399562732,-6.442386030102865,5.896083992135716,-0.41883607177410165,6.170028298160344,0.3044435566279688
EXSZUSx,2.259995978880726e-18,1.0006367399562732,-3.4846076977858687,4.8593598706801835,-0.14733915570472433,1.9272604873595336,0.2665852549838486
CUSR0000SAC,1.398372511932449e-17,1.0006367399562732,-6.374734515604822,4.663232326598572,-0.44904763138853776,6.437207142932031,-0.23224530556783365
CES2000000008,2.0339963809926532e-17,1.0006367399562732,-6.339953332292471,6.160675746694569,0.29014239561622734,6.757074285593714,-0.5461355726558644
