,RPI,DPCERA3M086SBEA,UNRATE,UEMPMEAN,PERMIT,ISRATIOx,M1SL,REALLN,S&P PE ratio,GS10,EXSZUSx,CUSR0000SAC,CES2000000008
RPI,1.0,0.14504378910971275,-0.029281524389818837,-0.02847387102473836,0.057091081428598,-0.04753821705146208,-0.03974365881398511,0.04760840769567962,0.01569148317653754,-0.009224974770125915,-0.01892801252204893,-0.13278017859693012,-0.029107024047441758
DPCERA3M086SBEA,0.14504378910971275,1.0,-0.08718585516957914,0.09445960556696134,0.14658708622676286,-0.48345028322451084,0.022693607271362336,-0.00029524582345538545,0.11207650443241124,-0.03047871628099627,0.04273150086117767,-0.005061208257046104,0.018658664264121137
UNRATE,-0.029281524389818837,-0.08718585516957914,1.0,-0.09448213532284572,-0.22645647301176708,0.1895134837364888,0.037101506117865723,-0.011292040060978555,0.015747501180477824,-0.14767232857062734,-0.02421940791229238,0.01346985336275438,0.003652235455591265
UEMPMEAN,-0.02847387102473836,0.09445960556696134,-0.09448213532284572,1.0,-0.12183757150833238,-0.1839089283033311,-0.01394652627151728,-0.016535799774633028,0.1548335614717185,0.00038318209137175357,-0.047313609245722164,0.012482382971695186,-0.05239865617063998
PERMIT,0.057091081428598,0.14658708622676286,-0.22645647301176708,-0.12183757150833238,1.0,-0.13148760670866985,0.0022263153941536524,-0.008838182769390862,-0.043839731241747684,0.0963245614270591,-0.03523939697462796,0.009680308780045454,-0.019899194079820996
ISRATIOx,-0.04753821705146208,-0.48345028322451084,0.1895134837364888,-0.1839089283033311,-0.13148760670866985,1.0,0.04807908797645583,0.007894708109228824,-0.22606265220622407,-0.11102481393075567,-0.011215162572897898,-0.17917802826765525,0.11739400203401817
M1SL,-0.03974365881398511,0.022693607271362336,0.037101506117865723,-0.01394652627151728,0.0022263153941536524,0.04807908797645583,1.0,0.021197780117833173,0.028882091667149147,-0.10468019738417907,-0.08061807403800945,-0.0034309846238713224,0.0014779470857870273
REALLN,0.04760840769567962,-0.00029524582345538545,-0.011292040060978555,-0.016535799774633028,-0.008838182769390862,0.007894708109228824,0.021197780117833173,1.0,0.008632684760998363,0.007831171391105163,0.026499312889506677,-0.059758791459768666,-0.011585628871059921
S&P PE ratio,0.01569148317653754,0.11207650443241124,0.015747501180477824,0.1548335614717185,-0.043839731241747684,-0.22606265220622407,0.028882091667149147,0.008632684760998363,1.0,-0.09491194228407898,-0.01983378649797691,0.043231383916178444,0.004580692706051131
GS10,-0.009224974770125915,-0.03047871628099627,-0.14767232857062734,0.00038318209137175357,0.0963245614270591,-0.11102481393075567,-0.10468019738417907,0.007831171391105163,-0.09491194228407898,1.0,0.2311966029402984,0.05464726366045969,0.006324088493862834
EXSZUSx,-0.01892801252204893,0.04273150086117767,-0.02421940791229238,-0.047313609245722164,-0.03523939697462796,-0.011215162572897898,-0.08061807403800945,0.026499312889506677,-0.01983378649797691,0.2311966029402984,1.0,-0.05711254069230587,0.0011886410887116173
CUSR0000SAC,-0.13278017859693012,-0.005061208257046104,0.01346985336275438,0.012482382971695186,0.009680308780045454,-0.17917802826765525,-0.0034309846238713224,-0.059758791459768666,0.043231383916178444,0.05464726366045969,-0.05711254069230587,1.0,0.0009322796802707911
CES2000000008,-0.029107024047441758,0.018658664264121137,0.003652235455591265,-0.05239865617063998,-0.019899194079820996,0.11739400203401817,0.0014779470857870273,-0.011585628871059921,0.004580692706051131,0.006324088493862834,0.0011886410887116173,0.0009322796802707911,1.0
