Var 1,Var 2,Correlation
DPCERA3M086SBEA,ISRATIOx,-0.48345028322451084
GS10,EXSZUSx,0.2311966029402984
UNRATE,PERMIT,-0.22645647301176708
ISRATIOx,S&P PE ratio,-0.22606265220622407
UNRATE,ISRATIOx,0.1895134837364888
UEMPMEAN,ISRATIOx,-0.1839089283033311
ISRATIOx,CUSR0000SAC,-0.17917802826765525
UEMPMEAN,S&P PE ratio,0.1548335614717185
UNRATE,GS10,-0.14767232857062734
DPCERA3M086SBEA,PERMIT,0.14658708622676286
RPI,DPCERA3M086SBEA,0.14504378910971275
RPI,CUSR0000SAC,-0.13278017859693012
PERMIT,ISRATIOx,-0.13148760670866985
UEMPMEAN,PERMIT,-0.12183757150833238
ISRATIOx,CES2000000008,0.11739400203401817
DPCERA3M086SBEA,S&P PE ratio,0.11207650443241124
ISRATIOx,GS10,-0.11102481393075567
M1SL,GS10,-0.10468019738417907
PERMIT,GS10,0.0963245614270591
S&P PE ratio,GS10,-0.09491194228407898
UNRATE,UEMPMEAN,-0.09448213532284572
DPCERA3M086SBEA,UEMPMEAN,0.09445960556696134
DPCERA3M086SBEA,UNRATE,-0.08718585516957914
M1SL,EXSZUSx,-0.08061807403800945
REALLN,CUSR0000SAC,-0.059758791459768666
EXSZUSx,CUSR0000SAC,-0.05711254069230587
RPI,PERMIT,0.057091081428598
GS10,CUSR0000SAC,0.05464726366045969
UEMPMEAN,CES2000000008,-0.05239865617063998
ISRATIOx,M1SL,0.04807908797645583
RPI,REALLN,0.04760840769567962
RPI,ISRATIOx,-0.04753821705146208
UEMPMEAN,EXSZUSx,-0.047313609245722164
PERMIT,S&P PE ratio,-0.043839731241747684
S&P PE ratio,CUSR0000SAC,0.043231383916178444
DPCERA3M086SBEA,EXSZUSx,0.04273150086117767
RPI,M1SL,-0.03974365881398511
UNRATE,M1SL,0.037101506117865723
PERMIT,EXSZUSx,-0.03523939697462796
DPCERA3M086SBEA,GS10,-0.03047871628099627
RPI,UNRATE,-0.029281524389818837
RPI,CES2000000008,-0.029107024047441758
M1SL,S&P PE ratio,0.028882091667149147
RPI,UEMPMEAN,-0.02847387102473836
REALLN,EXSZUSx,0.026499312889506677
UNRATE,EXSZUSx,-0.02421940791229238
DPCERA3M086SBEA,M1SL,0.022693607271362336
M1SL,REALLN,0.021197780117833173
PERMIT,CES2000000008,-0.019899194079820996
S&P PE ratio,EXSZUSx,-0.01983378649797691
RPI,EXSZUSx,-0.01892801252204893
DPCERA3M086SBEA,CES2000000008,0.018658664264121137
UEMPMEAN,REALLN,-0.016535799774633028
UNRATE,S&P PE ratio,0.015747501180477824
RPI,S&P PE ratio,0.01569148317653754
UEMPMEAN,M1SL,-0.01394652627151728
UNRATE,CUSR0000SAC,0.01346985336275438
UEMPMEAN,CUSR0000SAC,0.012482382971695186
REALLN,CES2000000008,-0.011585628871059921
UNRATE,REALLN,-0.011292040060978555
ISRATIOx,EXSZUSx,-0.011215162572897898
PERMIT,CUSR0000SAC,0.009680308780045454
RPI,GS10,-0.009224974770125915
PERMIT,REALLN,-0.008838182769390862
REALLN,S&P PE ratio,0.008632684760998363
ISRATIOx,REALLN,0.007894708109228824
REALLN,GS10,0.007831171391105163
GS10,CES2000000008,0.006324088493862834
DPCERA3M086SBEA,CUSR0000SAC,-0.005061208257046104
S&P PE ratio,CES2000000008,0.004580692706051131
UNRATE,CES2000000008,0.003652235455591265
M1SL,CUSR0000SAC,-0.0034309846238713224
PERMIT,M1SL,0.0022263153941536524
M1SL,CES2000000008,0.0014779470857870273
EXSZUSx,CES2000000008,0.0011886410887116173
CUSR0000SAC,CES2000000008,0.0009322796802707911
UEMPMEAN,GS10,0.00038318209137175357
DPCERA3M086SBEA,REALLN,-0.00029524582345538545
